Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
卢展工,ae4c22d13b924aaa72d655065ae88f772d9a6edc,0000003568,学习,华东工程学院,自动武器设计,1978.00,1979.00
卢展工,ae4c22d13b924aaa72d655065ae88f772d9a6edc,0000003568,本科,哈尔滨建筑工程学院,工业与民用建筑,1979.00,1982.00
卢展工,ae4c22d13b924aaa72d655065ae88f772d9a6edc,0000003568,进修,中央党校,经济,1987.03,1987.07
鲁大东,9e417d300f3a78afd869a820f4b81d528f9c0882,0000003571,本科,中国美术学院,书法篆刻,2002.00,
鲁瑞林,f3e7143b5532ab719ed311ccf8913825e7855c4d,0000003577,,,,,
陆昊,92e47de11c70156be87b17c064fddf79d0a8116e,0000003591,本科,北京大学,国民经济管理学,1985.09,1989.08
陆昊,92e47de11c70156be87b17c064fddf79d0a8116e,0000003591,研究生,北京大学,国民经济计划与管理,1991.09,1994.07
陆昊,92e47de11c70156be87b17c064fddf79d0a8116e,0000003591,进修,中央党校,,2001.09,2002.01
陆昊,92e47de11c70156be87b17c064fddf79d0a8116e,0000003591,培训,国防大学,,2007.10,2007.12
陆昊,92e47de11c70156be87b17c064fddf79d0a8116e,0000003591,进修,中央党校,,2010.11,2011.01
陆浩,92e47de11c70156be87b17c064fddf79d0a8116e,0000003592,学习,沈阳化校,分析化学,1963.09,1967.09
陆浩,92e47de11c70156be87b17c064fddf79d0a8116e,0000003592,学习,大连工学院,化学工程,1975.09,1976.09
陆浩,92e47de11c70156be87b17c064fddf79d0a8116e,0000003592,本科,兰州大学,化学,1978.02,1982.02
陆浩,92e47de11c70156be87b17c064fddf79d0a8116e,0000003592,研究生,中央党校,政治学,2000.09,2003.07
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,本科,武汉水利电力学院,农田水利工程,1978.09,1982.08
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,培训,西北农业大学,,1985.11,1986.08
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,进修,联邦德国黑森洲测量局、汉诺威地籍局,,1987.04,1988.04
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,培训,中央党校中央国家机关分部,,1989.02,1989.07
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,进修,中央党校,,2000.09,2000.11
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,进修,中央党校,,2007.03,2007.04
鹿心社,1a7c6f3b66f3e40ddf4e04da211970e3b6141925,0000003610,进修,中央党校,,2014.05,2014.07
罗保铭,44cbe6dc49f94ce62916a111e37121a0a5c19bfc,0000003625,专科,天津师范专科学校,中文,1978.11,1981.09
罗保铭,44cbe6dc49f94ce62916a111e37121a0a5c19bfc,0000003625,研究生,南开大学,中国明清史,1991.09,1995.01
罗清泉,2cdbab783eac5b51f79a2a4482c4d6f8301158ae,0000003665,本科,武汉水运工程学院（现武汉理工大学）,船舶制造与修理,1963.09,1968.09
罗清泉,2cdbab783eac5b51f79a2a4482c4d6f8301158ae,0000003665,培训,中央党校,,1983.09,1985.08 
罗志军,323a5f67419df409900a121caff7f96c2d44e579,0000003699,研究生,中国政法大学,政治学,1994.01,1995.09
洛桑江村,b86bf7487eaff8242cff7d7c01abad60c5be6824,0000003704,本科,西藏民族学院,语文,1971.12,1976.02
洛桑江村,b86bf7487eaff8242cff7d7c01abad60c5be6824,0000003704,培训,中央党校,,1990.09,1991.07
洛桑江村,b86bf7487eaff8242cff7d7c01abad60c5be6824,0000003704,培训,中央党校,,2001.03,2002.02
洛桑江村,b86bf7487eaff8242cff7d7c01abad60c5be6824,0000003704,研究生,中央党校,马克思主义哲学,2001.03,2004.01
骆惠宁,751a1b93683c8d12d86d3d72ef0bd5daff824913,0000003706,本科,安徽大学,政治经济学,1978.10,1982.08
骆惠宁,751a1b93683c8d12d86d3d72ef0bd5daff824913,0000003706,进修,安徽大学,,1988.09,1989.09
骆惠宁,751a1b93683c8d12d86d3d72ef0bd5daff824913,0000003706,进修,安徽省委党校,,1991.09,1992.06
骆惠宁,751a1b93683c8d12d86d3d72ef0bd5daff824913,0000003706,研究生,中国科学技术大学,管理与工程,1999.09,2002.01
骆惠宁,751a1b93683c8d12d86d3d72ef0bd5daff824913,0000003706,研究生,中国人民大学,政治经济学,2000.09,2003.07
马飚,ca89ff71fd82e935c4e0be86b83903da4f7ba502,0000003748,本科,中央民族学院,政治经济学,1978.00,1982.00
马力,8d761c3c9994f699468756aad679eee1c261ae5b,0000003791,,,,,
马明方,5fd4a73dcd048da9c2410b3b1a6561dcf14f0992,0000003799,,绥德师范学校,,,
马明方,5fd4a73dcd048da9c2410b3b1a6561dcf14f0992,0000003799,,陕西省农业机械化专科学校,,,
